ID,Pages,Views,Title,Summary
300417732,28,186,English Year 1 Lesson Plan Week 3,"English Year 1 Lesson Plan Week 3  This English lesson plan outlines activities for three Year 1 classes (1A, 1B, 1C) across three days (Monday to Wednesday) focused on teaching students about sounds in the environment. On each day, students will listen to environmental sounds, discuss and list sounds they hear, complete related exercises in their activity books, and learn new vocabulary. The lessons aim to develop students' listening, speaking, reading and writing skills according to specified learning standards and objectives. The lessons aim to develop students' listening, speaking, reading and writing skills according"
292049427,7,7K,Lesson Plan of Junior High School English,"Lesson Plan of Junior High School English  This lesson plan is for a 45-minute junior high English class on reading comprehension and subject-verb agreement. The lesson involves introducing a reading passage about a monkey named Chubby and a dog named Tommy. Students will read the passage aloud, answer comprehension questions, and practice filling in verbs in the third-person singular form in sentences and a worksheet. The plan outlines warm-up, introduction, two presentation sections, and a wrap-up, with teaching objectives, procedures, assessments, and aids described for each section. The plan outlines warm-up,"
634855612,7,222,English Lesson Plan Year 3 Cefr,"English Lesson Plan Year 3 Cefr  This English lesson plan outlines a lesson for a Year 3 class focusing on reading numbers up to 100. The plan lists the date, class, time, theme, language/grammar focus, learning standards, objectives, and assessment criteria. It describes pre-lesson, lesson delivery, and post-lesson activities. The main activities include a numbers game to practice counting 1-100, reading a textbook page to identify and count objects, and filling in a crossword puzzle with numbers to assess reading comprehension. The main activities include a numbers game to practice counting 1-100, reading a textbook page to identify and count objects, and filling"
51946926,70,6K,Module English Lesson Plan,"Module English Lesson Plan  This document discusses the components of education in the Indonesian national education system. It identifies three key components: (1) teachers, (2) curriculum, and (3) educational facilities. It provides definitions of curriculum from the Indonesian Law on National Education and illustrates the national education system as a whole with interrelated components that work together to achieve national education goals. The system includes learners, the teaching and learning process, educational context factors, and desired outcomes. Within the system, schools also have several components like learners, principal, teachers, staff, and curriculum. It provides definitions of curriculum from the Indonesian Law on National Education and illustrates the national education system as a whole with interrelated components that work together to achieve national"
39652171,4,367,English Lesson Plan SBT,"English Lesson Plan SBT  The English lesson plan teaches Year 6 students about festivals in Malaysia. It begins with asking students about festivals and presenting a short text on the topic, reading aloud and checking comprehension. Students then practice vocabulary and grammar through various worksheet activities. The lesson concludes by having students reflect and list all the festivals they learned."
190710070,7,3K,Detailed Lesson Plan in English,"Detailed Lesson Plan in English  The document provides a detailed lesson plan in English with the following key points: - The objectives are to identify cause and effect relationships, read poems correctly, appreciate reading poems, and decode words with ""augh"" sounds. - The lesson involves singing a song about family love, reading and analyzing a poem about children showing love for their mother on her birthday, and identifying cause and effect relationships in sentences and a short story. - Brain-based instructional strategies incorporated include involving students in real-life problem solving, using projects to increase meaning and motivation, simulations and role-plays, and using visual aids to engage visual processing in the brain. - The lesson involves"
657084269,,41,English Lesson Plan,"English Lesson Plan  This English lesson plan is for a 4th grade class on August 29th, 2022. The theme is about the self, family, and friends. The main topic is ""King of Kites"" and the lesson focuses on language arts and reading skills. The objectives and lesson development are not described, but the plan lists content and learning standards around expressing personal responses to literary texts and reading independently for information and enjoyment. About Legal"
342404603,3,21,English Lesson Plan: Stations Set Up,"English Lesson Plan: Stations Set Up  This English lesson plan focuses on teaching children about pirates. The lesson includes 6 activity stations: 1) making maps, 2) writing letters, 3) filling out crew member sheets, 4) making pirate hats, 5) adding vocabulary to sheets from pirate books, and 6) playing with playdough to create treasure containers. The teacher will read a book about pirates to introduce vocabulary and concepts, then explain the stations and circulate to help children as they work. To close, some children will present their maps and descriptions of crew members. The teacher will read"
434208102,6,148,English Year 2 Lesson Plan,English Year 2 Lesson Plan  This document contains an English lesson plan for Year 2 students following the Common European Framework of Reference (CEFR). The lesson plan focuses on reading and reviews language from Unit 7 on clothes vocabulary. The learning objectives are for students to review language from the unit. The pre-lesson involves reviewing characters and a story from the unit. The main lesson has students listening to and reading a recording of the story. It involves comprehension questions and a discussion of values in the story. Groups then role-play the story. The post-lesson reviews and practices the role-play in groups. The pre-lesson involves
433204050,12,118,English Lesson Plan After Upsr 2019,"English Lesson Plan After Upsr 2019  The document contains two English lesson plans for classes 6 Arif and 6 Dinamik. The lessons focus on poems about rivers and include activities like reading, reciting, and answering questions about the poems. Vocabulary, grammar, and moral values are also emphasized as part of the English lessons."
372296073,3,253,English Lesson Plan Form 5 SSTP Module,"English Lesson Plan Form 5 SSTP Module  This English lesson plan has the following objectives: 1. Students will write descriptions and recounts of unforgettable experiences by answering wh-questions to expand their ideas and completing a story map. 2. Students will practice writing sentences using adjectives, adverbs, and conjunctions to make their writing more interesting and varied. 3. Activities include brainstorming, sentence rearranging, using dictionaries and thesauruses, and reviewing writing for errors and sentence structure. The goal is for students to produce a well-written narrative essay by the end of the lesson. Activities include brainstorming, sentence"
262036085,7,506,English Lesson Plan Microteaching,"English Lesson Plan Microteaching  The document outlines an English lesson plan for 4th grade students on caring for the sea. The plan involves showing a video on sea life, reading a text about endangered sea turtles, and having students create a flow map on causes and effects of sea turtle extinction and write notes expressing their feelings. The lesson aims to teach students about threats facing sea turtles like habitat loss and pollution, and emphasize thinking skills, creativity, and moral values of loving nature and animals. The lesson aims to teach students about threats facing sea turtles like habitat"
232820095,,23,English Lesson Plan,"English Lesson Plan  This English lesson plan outlines the subject, class, date, number of pupils, theme, topic, focused skill, integrated skill, level, previous knowledge, content standard, learning standard, language content, educational emphases, moral value, and teaching aids for the lesson."
659646121,4,69,English Lesson Plan Year 4 Cefr,"English Lesson Plan Year 4 Cefr  This document contains two English lesson plans for Year 4 students. The first lesson plan is for Class 4R from 7:30-8:30am and focuses on reading comprehension using texts about hobbies. The second lesson plan is for Class 4A from 10:30-11:30am and covers similar material. Both lessons involve introducing vocabulary, reading passages aloud, asking comprehension questions, and discussing the lessons' values. The plans aim to help students understand phrases and sentences from simple texts. The plans aim to help students understand"
472701719,3,105,Date/Day Time Class/ Theme / Topic Learning Outcomes: English Lesson Plan,"Date/Day Time Class/ Theme / Topic Learning Outcomes: English Lesson Plan  The document contains 3 English lesson plans. The first lesson plan is on 13 July 2020 from 11:30-12:30 for class 5UPSI(A). The lesson involves correcting answers from an exam by discussing the correct answers and revising their test papers. The second lesson plan is on 8 October 2014 from 6:45-8:05 for class 5S1. The lesson focuses on continuous writing by answering wh-questions, using a thesaurus, and completing a text. The third lesson plan is also for class 5S1 on 9 October 2014 from 6:45-8:05. The lesson continues working on continuous writing by using adjectives, adverbs, joining sentences, and reviewing writing. The lesson involves correcting answers from an exam by"
413861197,4,2K,English Lesson Plan Year 1 Cefr,"English Lesson Plan Year 1 Cefr  This English lesson plan is for Year 2 students and focuses on speaking. The lesson will take place on Tuesday from 1120-1220. The theme is ""World of Self, Family and Friends"" and the topic is ""Let's Play"". The language/grammar focus is recycled toy vocabulary and favorite activities. The learning objective is for pupils to be able to listen for specific information. Activities include a mime guessing game where students mime free time activities for others to guess. The lesson also includes worksheets for students to read and color as well as pair work playing the mime game."
273677176,2,54,English Lesson Plan Template,"English Lesson Plan Template  The document outlines a 2015 English lesson plan template which includes sections for date, time, attendance, subject, learning objectives, outcomes, mode, activities, aids, soft skills, assessment and evaluation."
418993889,3,282,Grade 9 English Lesson Plan,"Grade 9 English Lesson Plan  This lesson plan aims to teach students about the poem ""The Man with the Hoe"" by Edwin Markham. It involves activities like singing a folk song about farming, making inferences from pictures of farmers, analyzing quotes from the poem, and dividing into groups to do a speech choir performance or poster presentation related to the themes of the poem. The goal is for students to understand how the poem's elements convey its theme and make connections to the lives and hard work of farmers. It involves activities like singing a folk song about farming, making inferences from pictures of farmers, analyzing quotes from the poem, and dividing into groups to do a speech choir performance or poster presentation related to the themes of the"
486884994,,20,English Lesson Plan Class Time Day Topic Date: - / - of Pupils Able To Finish The Task Given,"English Lesson Plan Class Time Day Topic Date: - / - of Pupils Able To Finish The Task Given  This English lesson plan outlines the class, time, topic, objectives, learning activities, and reflection for a lesson. It includes spaces to record the date, day, class time, topic being covered, objectives for what students will learn, planned activities, and a reflection on how many students achieved the objectives."
398317417,2,3K,English Lesson Plan Year 2 Cefr,"English Lesson Plan Year 2 Cefr  This English lesson plan is for Year 2 students and focuses on listening comprehension. The lesson theme is ""Get Dressed"" and language focuses include recycled and new imperatives. Learning objectives are for students to listen and follow instructions to demonstrate meaning. Activities include listening to an audio song, identifying clothing names and materials, and working in groups to match clothing pictures to materials using flashcards. Assessment involves groups describing other objects made from cotton, leather, and wool. The reflection notes how many students achieved the learning objectives with enrichment or remedial exercises. Activities include listening to an audio song, identifying clothing names and"
64900776,5,270,English Lesson Plan,"English Lesson Plan  The document provides an English lesson plan for a Year 3 class on parts of the body. The lesson plan includes the date, time, theme, topic, focused and integrated skills as well as the curriculum specifications and learning outcomes. The plan details the activities which include showing pictures of body parts and asking questions, listening to a song about head to toe, a Simon Says activity touching different body parts and spelling them, and a post listening activity where students ask each other questions about body parts. The goal is for students to learn and understand the main body parts, be able to identify and show five parts, and answer two questions about their own body parts. The lesson plan includes the date, time, theme, topic, focused and integrated"
258966477,6,12K,Detailed Lesson Plan in English 9,"Detailed Lesson Plan in English 9  This document outlines a detailed lesson plan in English for 9th grade students. The lesson focuses on argumentative texts and their key components of pros and cons. Students will define argumentative texts, extract information from examples, and illustrate pros and cons of issues through charts. The lesson plan provides learning objectives, content references, and step-by-step procedures for teacher-led activities including motivating discussions, text readings, group work to identify pros and cons, and individual assignments to apply their understanding. The lesson plan provides learning objectives, content references, and step-by-step procedures for teacher-led activities including motivating discussions, text readings, group work"
447266627,,91,ENGLISH LESSON PLAN (CIVICS-jan),"ENGLISH LESSON PLAN (CIVICS-jan)  This English civics lesson plan focuses on the topic of abuse. The plan outlines activities for students such as reading an article about abuse, answering oral and written questions, discussing abuse, and writing a message to a newspaper editor with guidance. The lesson aims to teach students to list causes of abuse, explain ways to curb abuse, and show sympathy and empathy for victims of abuse."
240587531,3,71,English Lesson Plan,English Lesson Plan English Lesson Plan for year 2 English Lesson Plan English Lesson Plan for year 2
492692580,3,121,English Lesson Plan F1 F2 2021,"English Lesson Plan F1 F2 2021  This English lesson plan focuses on language awareness as the main skill. It is for Form 2 students and covers an unspecified topic. The plan lists learning objectives, language focus, strategies, thinking skills, teaching aids, differentiated learning, formative assessment, and a teaching and learning activity that includes a lead in, development, and post lesson. The reflection section will include an overall assessment, problems, and strengths. About Legal"
312213025,3,31K,B.ed Lesson Plan (English),B.ed Lesson Plan (English)  1. The lesson plan is for a 9th class English lesson on road safety. 2. The teacher will discuss why road accidents occur and steps to minimize them. 3. Students will read a paragraph about the sad facts of road accidents and injuries in cities from the teacher and other students. The teacher will then correct any mistakes.
53133837,5,302,English Lesson Plan 1,English Lesson Plan 1  The English lesson plan aimed to teach pupils about travel and adventure. It involved discussing brochures to learn about interesting places and state information found in brochures. Pupils would work in groups to identify 5 interesting places from brochures and present their findings to the class. The goal was for pupils to be able to talk about travel experiences and learn from brochures.
326604562,4,206,English Lesson Plan: My! What A Strange Dream!,"English Lesson Plan: My! What A Strange Dream! 1. The English lesson plan is for Year 4 students from 10am-11am on the topic of ""My! What a Strange Dream!"" with a focus on speaking, listening and writing skills related to Malaysian food and culture. 2. The lesson involves students listening to and singing the song ""Rasa Sayang"" to introduce the topic. They then build a list of Malaysian foods and cultures and match pictures of races to the correct foods and cultures. 3. Students are divided into groups to classify and discuss Malaysian foods, festivals, religions, and traditional costumes. Weaker students receive remedial work on correctly identifying foods and cultures while stronger students attempt enrichment activities. What a Strange Dream!"" with a focus on speaking, listening and"
130828667,11,918,English Lesson Plan Year 4,"English Lesson Plan Year 4  The document outlines an English daily lesson plan that uses creative drama techniques. [1] It includes objectives like reading stories fluently and comprehending moral values. [2] Several drama activities are described like role playing as objects, miming a story, making props and role playing characters. [3] The rationale for using drama is that it develops language skills through interaction and lowers students' self-consciousness when practicing English. Get our"
542727548,104,1K,"6, 7, 8th ENGLISH Lesson Plan - Final","6, 7, 8th ENGLISH Lesson Plan - Final  This lesson plan provides an overview of the lesson ""Sports Stars"" for 6th standard English. It begins with an interactive introduction where students mirror movements to understand teamwork. The teacher then guides the reading of the lesson, defining new words and having students create a mind map of prominent Indian sports stars. The plan aims to teach students about the skills and achievements of sports personalities through an engaging reading activity. The plan aims to teach students about the skills and achievements of sports personalities through an engaging"
378067770,,750,English Lesson Plan Year 2 Cefr,"English Lesson Plan Year 2 Cefr  The lesson plan focuses on a unit about an old house, with language objectives of teaching home vocabulary and adjectives. Students will talk about pictures, rearrange words to form sentences correctly, and ask for attention using expressions like ""I know the answer!"" The lesson involves reviewing flashcards, answering questions in pairs, and arranging sample sentences in groups."
629610401,3,292,Week 14 English Lesson Plan Year 1 Superminds,"Week 14 English Lesson Plan Year 1 Superminds  This English lesson plan is for Year 1 students and focuses on speaking, listening, and reading skills related to introducing oneself, colors, and greetings. The plan outlines three lessons over three days: 1. On Tuesday, students will practice greeting and introducing themselves to classmates in pairs and groups using fixed phrases like ""Hello"" and ""My name is..."". 2. On Wednesday, the focus shifts to listening and identifying colors. Activities include chanting colors, pointing to examples, and writing color names. 3. On Thursday, reading skills are emphasized as students read color words and simple sentences. On Tuesday, students will practice greeting and introducing themselves"
580503844,6,92,English Lesson Plan Year 3 Cefr W37,"English Lesson Plan Year 3 Cefr W37  This document contains three English lesson plans for Year 3 students focusing on reading, language arts, and grammar. The lessons cover numbers up to 100, reading comprehension, describing friends using phrases like ""He's/She's"" and ""has got"", and writing sentences. The learning objectives are to read and spell numbers, fill in a crossword puzzle, write descriptive sentences, and read phrases and sentences. Assessment includes questions, observation, and a wall display of student work. Assessment includes questions, observation, and"
798468027,2,5,English Lesson Plan FA,English Lesson Plan FA  English Lesson Plan FA
512712598,2,77,MCF English Lesson Plan Class,MCF English Lesson Plan Class  The English lesson plan outlines activities to introduce 15-20 grades 3-5 students to English. The plan includes: an introduction of teachers/class; the game Pictionary where students draw words for their team; a puzzle activity with description matching; an easy song with cut-out lyrics; a word association game where students say connecting words or perform; and a group story activity. The plan aims to get students familiar with English in a fun way through games for the first class. Safety will be ensured for using scissors or running in the classroom. The plan includes: an introduction of teachers/class; the game Pictionary where students draw words for their team; a puzzle activity with description matching; an easy song with cut-out lyrics; a word association game where students say connecting words
377629726,7,59,Update Y1 Lesson Plan Week 1,"Update Y1 Lesson Plan Week 1  This document contains an English lesson plan for Year 1 students. The lesson focuses on listening and phonics. The learning objectives are for students to identify 4 sounds, recognize the shapes of 3 letters, and match 5 pictures to words. The lesson activities include singing a phonics song, listening to sounds and words, identifying relevant sounds in a story, and completing worksheets and a word search. The lesson plan provides details on date, time, theme, standards, and assessment. The lesson activities include singing a phonics song, listening to sounds and words, identifying relevant sounds in a story, and completing worksheets"
242790850,9,122,English LESSON PLAN,"English LESSON PLAN  This lesson plan aims to familiarize English entry level 2 students with famous festivals. It includes activities to practice alphabetical ordering, questioning words, and simple writing about festivals. Differentiation is provided through pair/group work and varying task difficulties. Assessment includes observation of participation and accuracy of completed work. Resources include pictures/videos of festivals and alphabet cards. Skills covered are communication, comprehension, spelling, and locating information alphabetically. Teaching activities involve an alphabet game, discussion of festivals, spelling practice, and a written task adapted to student abilities. Skills covered are communication, comprehension, spelling, and locating information"
714709919,2,84,Grade 7 English Lesson Plan,"Grade 7 English Lesson Plan  This lesson plan outlines a Grade 7 English class on writing narrative essays. It includes introducing students to the key elements of narratives like characters, setting, and plot. Students will then plan their own narrative essays using graphic organizers, discuss their plans with peers, and have time to draft their essays in class with teacher guidance. The goal is for students to understand how to craft narrative essays with vivid details, clear storylines, and effective openings and plot development. The lesson concludes with reflection on the writing process and an assignment to complete the essays for homework. Students will then plan their own narrative essays using graphic organizers, discuss their plans with peers, and have time to draft"
480509501,6,38,ENGLISH LESSON PLAN YEAR 4 24hb Feb,"ENGLISH LESSON PLAN YEAR 4 24hb Feb  This document contains an English lesson plan for Year 4 students focusing on speaking about experiences in the past. The lesson objectives are for students to be able to speak and understand phrases and sentences from linear and non-linear texts with guidance. Activities include the teacher displaying flashcards to reintroduce the theme of ancient history, students discussing ancient cultures and the teacher choosing pairs to present. The assessment is questions to check if students can talk and understand 3 out of 5 phrases and sentences correctly. Activities include the teacher displaying flashcards to reintroduce the theme"
445742847,3,202,English Lesson Plan Year 6 SK,"English Lesson Plan Year 6 SK  This document contains 3 English lesson plans for Year 6, Year 4, and Year 5 students. The Year 6 lesson plan is for a reading class focusing on new vocabulary. The learning objective is for students to apply dictionary skills to find word meanings with guidance. The Year 4 lesson plan is for a speaking class on asking and answering questions about where people are from. The learning objective is for students to ask and answer questions with guidance. The Year 5 lesson plan is for a writing class on writing family descriptions during a family day. The learning objective is for students to write in neat legible print with correct spelling with guidance. The Year 6 lesson plan is for a reading class"
497626020,,38,English Lesson Plan Week 2,"English Lesson Plan Week 2  This English lesson plan is for Year 2 students in Class 2 on Tuesday from 9-10 AM. The focus of the lesson is on listening and reading phonics. Students will work on recognizing and reproducing certain phonemes. The learning objectives are for students to be able to listen and write at least 6 phonemes correctly with support. The assessment will be through questions and observation to see if students can recognize words in texts by using letter sounds with guidance. The lesson activities will involve listening to a rhyme, identifying relevant sounds, and recording and sending video sounds to the teacher. The learning objectives are for students to be"
542111984,8,254,English Lesson Plan Year 4 Cefr SK 37,"English Lesson Plan Year 4 Cefr SK 37  This English lesson plan is for Year 4 students and focuses on amazing animals. On Monday, students will practice speaking about their preferences and reasons for likes and dislikes of different animals. On Tuesday, the lesson will focus on reading comprehension as students listen to and read a story about animals. On Wednesday, the lesson focuses on writing as students work on producing a paragraph describing their favorite animal. On Wednesday, the lesson focuses on writing as students work on producing a paragraph describing their"
430003986,3,32,English Lesson Plan: Early Years Education,"English Lesson Plan: Early Years Education  This document outlines an English lesson plan for an early years education class. It includes sections on the lesson objectives, materials needed, teaching strategies, learning activities, assessments, and how the lesson aligns with professional standards. The lesson plan has multiple objectives and uses various activities, such as direct teaching, peer teaching, and hands-on learning. It assesses student understanding through teacher observation, oral questions, and worksheets. The overall goal is for students to achieve the objectives by the end of the lesson. It assesses student understanding through"
471941884,2,376,English Lesson Plan Form 4 2020: Let's Chat,"English Lesson Plan Form 4 2020: Let's Chat  This English lesson plan is for Form 4 students on Sunday from 9-10:45 AM. The focus skills are reading and speaking about the topic of people and culture. Students will work on understanding longer narratives and specific details in explanations. The learning objectives are for students to learn about the evolution of mobile phones, tell about it in simple language, and choose a sentence summarizing the text. The lesson will involve reading about the history of mobile phones, explaining the text, and discussing it. The learning objectives are for students to learn about the evolution of"
870773032,12,10,Grade7 English Lesson Plans Nepal,"Grade7 English Lesson Plans Nepal  The document outlines a comprehensive English lesson plan for Grade 7 based on the Nepal Curriculum, focusing on various language skills such as narrative tenses, reading comprehension, and vocabulary expansion. Each lesson includes general and specific objectives, required materials, teaching activities, and evaluation methods. The structure emphasizes student engagement through warm-ups, presentations, practice, production, and wrap-up sessions."
391252862,13,65,English Lesson Plan KSSR,English Lesson Plan KSSR  Teacher will monitor the pairs and help  Pictures those who need assistance.  Worksheet Moral value:  Powerpoint presentation  Respect each other’s opinion Multiple intelligence:  Cooperate with each other  Spatial intelligence  Linguistic intelligence  Interpersonal intelligence  Intrapersonal intelligence English Lesson Plan KSSR  Teacher will monitor the pairs and help  Pictures those who need assistance.  Worksheet Moral value:  Powerpoint presentation  Respect each other’s opinion Multiple intelligence:  Cooperate with each other  Spatial intelligence  Linguistic intelligence  Interpersonal intelligence  Intrapersonal intelligence
629610483,7,104,Week 4 English Lesson Plan Year 1 SK,"Week 4 English Lesson Plan Year 1 SK  This document provides an English lesson plan for Year 1 students. The lesson takes place on Monday from 8:20-9:20 AM. The focus is on listening and phonics. Students will work on recognizing and reproducing the sounds /s/, /æ/, /t/, and /p/. By the end of the lesson, students should be able to sound out at least 3 phonemes correctly with guidance or support. The lesson activities include singing a phonics song, listening to and identifying sounds in words, matching pictures to words, and a word search. By the end of the lesson, students should be"
457293228,,202,Choose An Item.: English Lesson Plan Year 5,"Choose An Item.: English Lesson Plan Year 5  This document contains an English lesson plan for Year 5 students on Wednesday, 28 April 2016 from 7:30-8:30 AM. The lesson focuses on grammar and the future continuous tense. The objectives are for students to use different word classes correctly and answer a worksheet. The activities include a review of the previous lesson, an explanation of grammar by the teacher, students doing an activity with guidance, and answering a worksheet. The activities include a review of the previous lesson, an explanation of grammar by the teacher, students doing an activity with guidance,"
584709461,104,4K,"6, 7, 8th English Lesson Plan Term 2","6, 7, 8th English Lesson Plan Term 2  www.tnpsnote.com www.tnpsnote.com The document provides details about lesson plans for English classes in standards 6, 7, and 8. It includes the learning outcomes, introduction, guide reading, and new words for each lesson. The lessons cover topics like sports stars, teamwork, adjectives, travel stories, Don Quixote, Alice in Wonderland, conjunctions, and short stories. It also shares bank details and contact information for the publisher. Get our"
419035547,35,26K,Lesson Plan in English For Grade 8 First Quarter,"Lesson Plan in English For Grade 8 First Quarter  The lesson plan outlines objectives and procedures for a 60-minute English class. The objectives are to identify characters in a story, determine the author's tone, mood, and purpose through different character stories, and express appreciation for how God created humans. Students will motivate by telling how God created Filipinos and describe characters. They will then present the story of the different characters. The lesson aims to improve students' English proficiency in identifying literary elements. They will then present the story of the"
872978803,3,0,ENGLISH LESSON PLAN,"ENGLISH LESSON PLAN  This document outlines an English lesson plan for sixth grade students at Colegio Veintiún Ángeles, focusing on basic rights and environmental awareness. It includes learning objectives, thematic content, grammatical structures, and assessment methods across three units. The plan emphasizes communication skills, critical thinking, and social responsibility while encouraging students to engage with their culture and environment."
689986699,8,32,Lesson Plan,"Lesson Plan  The document outlines an English lesson plan for 3rd grade students. The objective is for students to identify the main idea and details from a listening to deduce meanings of unfamiliar words and give opinions on the topic. Students will listen to an audio about hugging trees. They will work in pairs, asking each other questions to identify general and specific information from the listening. The lesson aims to help students understand spoken English in familiar contexts. The lesson aims to help students"
452509290,5,253,English Lesson Plan Year 4 Cefr SK,"English Lesson Plan Year 4 Cefr SK  This document contains an English lesson plan for Year 4 students following the CEFR SK framework. The lesson is on Monday from 10:30-11:30 am focusing on speaking. Students will practice asking and answering questions using ""have to"" in present simple yes/no questions about obligations. The learning objective is for students to be able to ask and answer 3 out of 5 questions correctly. Pair and group work will be used along with resources like textbooks, flashcards, and word cards. Assessment will be through questions and observation. The learning objective is for students to be"
272266112,2,360,Form 2 English Lesson Plan,"Form 2 English Lesson Plan  The English lesson plan is for class 2I on Thursday. The topic is past tense. The learning outcome is for students to understand how to use past tense. The teacher will explain past tense rules and students will complete practice questions to apply their understanding and be able to answer 6 of 10 questions correctly. In the plenary, the lesson will be summarized by revisiting past tense. The teacher will reflect on how well the students met the learning objectives. In the plenary, the lesson will be"
721663873,63,203,G6 Eng Lesson Plans,"G6 Eng Lesson Plans  The document outlines an English lesson plan for teaching students about the topic of a prize giving day. It details the specific objectives, content, teaching methods, teacher and learner activities, and assessment for the four-part lesson. Key elements include describing prize giving day activities and processes, reading about and comprehending a story related to the topic, and changing verb tenses from present to past."
584019996,3,34,English CEFR Lesson Plan Day 14,"English CEFR Lesson Plan Day 14  The document provides a lesson plan for an English class. It outlines the objectives, success criteria, teaching materials, and learning activities. The lesson focuses on adjectives, verbs, writing correct forms of 'have got', and practicing dialogs. It also includes assessment and reflection sections."
